1,tmall.com,AS37963
2,baidu.com,AS23724,AS4134,AS9808
3,qq.com,AS4837
4,sohu.com,AS9808,AS23724,AS4134,AS4808
5,taobao.com,AS37963
6,login.tmall.com,AS24429
7,360.cn,AS23724
8,jd.com,AS23724,AS9808,AS133119
9,sina.com.cn,AS4808
10,weibo.com,AS37936
11,pages.tmall.com,AS24429
12,alipay.com,AS37963
13,csdn.net,AS37963
14,xinhuanet.com,AS4611,AS4808
15,babytree.com,AS37963
16,google.com.hk,AS15169
17,tianya.cn,AS15169
18,soso.com,AS15169
19,panda.tv,AS63949
20,zhanqi.tv,AS63949
21,china.com.cn,AS4808
22,caijing.com.cn,AS23724,AS9808
23,mama.cn,AS134764,AS4134
24,so.com,AS4837
25,hao123.com,AS23724,AS4808,AS9808
26,detail.tmall.com,AS139018,AS4134
27,rednet.cn,AS45090
28,huanqiu.com,AS132203
29,sogou.com,AS132203
30,yy.com,AS138950,AS4134,AS58543
31,17ok.com,AS9308,AS133119,AS9802,AS4835,AS23724
32,bilibili.com,AS55990,AS17621,AS4812,AS56046,AS137280,AS59019
33,1688.com,AS37963
34,google.cn,AS37963
35,google.com,AS15169
36,jrj.com.cn,AS56048,AS23724,AS4808,AS24134
37,yao.tmall.com,AS56048,AS23724,AS4808,AS24134
38,cnblogs.com,AS56048,AS23724,AS4808,AS24134
39,163.com,AS56048,AS23724,AS4808,AS24134
40,aliyun.com,AS56048,AS23724,AS4808,AS24134
41,zhihu.com
42,gome.com.cn
43,6.cn,AS64096
44,jiameng.com,AS64096
45,3c.tmall.com,AS24429
46,gmw.cn,AS24429
47,iqiyi.com,AS24429
48,eastday.com,AS24429
49,jianshu.com,AS24429
50,youtube.com,AS15169
