新加坡, 180.210.206.51,NONE,5%,40%
马来西亚, 223.25.244.145,0%,15%,5%
越南, 45.117.76.22,0%,0%,0%
泰国, 43.254.132.221,0%,0%,0%
澳大利亚, 203.143.89.72,0%,0%,0%
印度, 49.50.76.218,0%,0%,20%
阿联酋, 185.93.245.54,0%,0%,0%
土耳其, 185.125.32.29,0%,0%,20%
沙特, 46.151.213.205,0%,0%,0%
哈萨克斯坦, 95.56.234.66,0%,5%,25%
蒙古, 43.231.113.234,0%,0%,0%
日本, 45.32.51.106,0%,0%,0%
韩国, 103.86.86.1,0%,20%,0%
香港, 203.160.84.241,0%,0%,0%
台湾, 113.196.70.31,0%,5%,0%
英国, 5.1.88.152,0%,0%,0%
德国, 185.72.247.76,0%,0%,0%
荷兰, 81.171.7.1,0%,0%,15%
俄罗斯, 46.38.51.201,0%,0%,0%
乌克兰, 91.229.78.83,0%,0%,10%
意大利, 185.94.16.23,0%,0%,0%
葡萄牙, 188.208.143.109,0%,35%,50%
芬兰, 185.87.108.247,0%,0%,0%
埃及, 41.215.240.197,0%,0%,0%
肯尼亚, 62.12.114.67,0%,0%,0%
尼日利亚, 154.113.1.27,0%,5%,0%
南非, 41.185.78.52,0%,0%,0%
美国, 204.188.217.238,0%,0%,0%
加拿大, 198.50.128.225,0%,0%,15%
墨西哥, 143.255.57.1,0%,0%,0%
巴西, 181.41.214.27,0%,0%,0%
阿根廷, 200.55.240.23,0%,0%,0%
智利, 190.105.239.70,0%,0%,0%
