新加坡, 180.210.206.51, 5%, 211ms
马来西亚, 223.25.244.145, 15%, 332ms
越南, 45.117.76.22, 0%, 354ms
泰国, 43.254.132.221, 0%, 148ms
澳大利亚, 203.143.89.72, 0%, 390ms
印度, 49.50.76.218, 0%, 424ms
阿联酋, 185.93.245.54, 0%, 429ms
土耳其, 185.125.32.29, 0%, 324ms
沙特, 46.151.213.205, 0%, 351ms
哈萨克斯坦, 95.56.234.66, 5%, 323ms
蒙古, 43.231.113.234, 0%, 326ms
日本, 45.32.51.106, 0%, 189ms
韩国, 103.86.86.1, 20%, 75ms
香港, 203.160.84.241, 0%, 50ms
台湾, 113.196.70.31, 5%, 74ms
英国, 5.1.88.152, 0%, 282ms
德国, 185.72.247.76, 0%, 300ms
荷兰, 81.171.7.1, 0%, 199ms
俄罗斯, 46.38.51.201, 0%, 121ms
乌克兰, 91.229.78.83, 0%, 454ms
意大利, 185.94.16.23, 0%, 374ms
葡萄牙, 188.208.143.109, 35%, 419ms
芬兰, 185.87.108.247, 0%, 358ms
埃及, 41.215.240.197, 0%, 308ms
肯尼亚, 62.12.114.67, 0%, 454ms
尼日利亚, 154.113.1.27, 5%, 362ms
南非, 41.185.78.52, 0%, 472ms
美国, 204.188.217.238, 0%, 243ms
加拿大, 198.50.128.225, 0%, 387ms
墨西哥, 143.255.57.1, 0%, 260ms
巴西, 181.41.214.27, 0%, 376ms
阿根廷, 200.55.240.23, 0%, 380ms
智利, 190.105.239.70, 0%, 371ms
